CityFIPS,ID,0-0.5,0.5-4,9-May,14-Oct,15-19,20-24,25-34,35-39,40-44,45-49,50-54,55-60,60-64,65-69,70-74,75+
203000,AK|Anchorage,0.074504626,0.081139155,0.125289974,0.139793459,0.141776515,0.103147293,0.136578109,0.173984686,0.178270891,0.180819106,0.303199544,0.30199249,0.300697904,0.438140806,0.438140806,0.438140806
107000,AL|Birmingham,0.085220296,0.095497784,0.155342162,0.177087431,0.181272599,0.148720931,0.191069891,0.240463956,0.245172011,0.247532839,0.406932628,0.405867051,0.404724202,0.55853942,0.55853942,0.55853942
135896,AL|Hoover,0.065319766,0.072292053,0.114737028,0.130367171,0.133433318,0.100899639,0.132556171,0.168900609,0.172443671,0.174667374,0.290673527,0.289442971,0.288123179,0.422562768,0.422562768,0.422562768
137000,AL|Huntsville,0.077566246,0.085600057,0.135451445,0.152783698,0.155988256,0.122569039,0.159419879,0.202022936,0.206247394,0.208510421,0.346475189,0.345328151,0.344097934,0.489008029,0.489008029,0.489008029
150000,AL|Mobile,0.080627866,0.090205713,0.146249026,0.166716843,0.170037782,0.136322616,0.178649229,0.225382064,0.228970996,0.231250116,0.380713623,0.379610462,0.378427304,0.52876485,0.52876485,0.52876485
151000,AL|Montgomery,0.083689486,0.092591817,0.147292911,0.166192078,0.168153956,0.133188783,0.174984282,0.220722117,0.224687355,0.227031382,0.375927202,0.374821702,0.373636033,0.523593254,0.523593254,0.523593254
177256,AL|Tuscaloosa,0.079097056,0.087999387,0.141274309,0.160378875,0.163950146,0.134648157,0.173238904,0.219033061,0.222621983,0.224696681,0.371617467,0.370504839,0.369311527,0.51880358,0.51880358,0.51880358
523290,AR|Fayetteville,0.072208411,0.08014572,0.128005668,0.145373023,0.148468744,0.117735218,0.152484563,0.19363334,0.197767816,0.200140909,0.332388788,0.331219252,0.329964906,0.471813962,0.471813962,0.471813962
524550,AR|Fort Smith,0.082924081,0.091488654,0.144805553,0.163023094,0.164677445,0.130823697,0.173260986,0.220063435,0.223723093,0.225945763,0.375430876,0.374327341,0.373143783,0.522757434,0.522757434,0.522757434
535710,AR|Jonesboro,0.076035436,0.084841265,0.136837834,0.155874802,0.15880698,0.123654526,0.162321581,0.205980115,0.209101376,0.211314948,0.348582609,0.347432684,0.346199371,0.490594355,0.490594355,0.490594355
541000,AR|Little Rock,0.076035436,0.084310503,0.134505428,0.152417476,0.154955615,0.120171514,0.158900218,0.200561182,0.20453854,0.206815863,0.342666869,0.341511542,0.340272435,0.484411162,0.484411162,0.484411162
566080,AR|Springdale,0.076800841,0.085486042,0.137310842,0.156057913,0.159337497,0.129730247,0.167563939,0.213015872,0.217188194,0.219589344,0.363917577,0.362794008,0.361588961,0.508702679,0.508702679,0.508702679
404720,AZ|Avondale,0.080627866,0.08793791,0.136283293,0.151944629,0.153872359,0.11571794,0.152658973,0.194178589,0.198229562,0.200791904,0.336068823,0.33491055,0.333668282,0.476534914,0.476534914,0.476534914
412000,AZ|Chandler,0.076035436,0.082018574,0.124433677,0.13748811,0.138651929,0.098481785,0.131712,0.168809787,0.172433979,0.17490744,0.295346006,0.294131341,0.292828592,0.428935297,0.428935297,0.428935297
427400,AZ|Gilbert,0.074504626,0.080270634,0.121473311,0.134136015,0.1352475,0.094852441,0.127179858,0.163219346,0.166749788,0.16920438,0.286057165,0.284828931,0.283511629,0.417923623,0.417923623,0.417923623
427820,AZ|Glendale,0.083689486,0.090927153,0.13997764,0.155348644,0.156925859,0.117166931,0.154719432,0.196924677,0.20102099,0.203590894,0.341283059,0.340134005,0.338901627,0.482645179,0.482645179,0.482645179
446000,AZ|Mesa,0.082158676,0.08903446,0.136381162,0.151053642,0.152448471,0.111207011,0.147315027,0.187822191,0.191765825,0.194304927,0.326239255,0.32506831,0.323812453,0.465049247,0.465049247,0.465049247
454050,AZ|Peoria,0.079097056,0.085369701,0.1297183,0.143249393,0.144388356,0.10254551,0.13675895,0.174966746,0.178683017,0.181168778,0.305318003,0.304117439,0.302829814,0.440564611,0.440564611,0.440564611
455000,AZ|Phoenix,0.082924081,0.090185874,0.139080558,0.154536928,0.156207191,0.116531556,0.153826505,0.195742193,0.199818955,0.202385535,0.339060962,0.337908035,0.336671501,0.480033054,0.480033054,0.480033054
465000,AZ|Scottsdale,0.074504626,0.080150007,0.120943219,0.133350259,0.134353367,0.093055302,0.124957733,0.160496293,0.163981012,0.166426272,0.281589047,0.28035442,0.279030261,0.41262504,0.41262504,0.41262504
471510,AZ|Surprise,0.079097056,0.08553858,0.130460429,0.144349452,0.145639613,0.10352882,0.137711706,0.175963973,0.179708855,0.182208183,0.306481722,0.305281689,0.303994633,0.441823772,0.441823772,0.441823772
473000,AZ|Tempe,0.078331651,0.084917928,0.130093439,0.144323492,0.145815077,0.105731418,0.140429266,0.179289313,0.183090021,0.185600721,0.311929155,0.310736935,0.309458259,0.448287143,0.448287143,0.448287143
477000,AZ|Tucson,0.08751651,0.094778304,0.14509916,0.160350131,0.161657469,0.11969634,0.155831808,0.199098357,0.203196662,0.205605796,0.344867908,0.343724584,0.34249835,0.486640527,0.486640527,0.486640527
485540,AZ|Yuma,0.080627866,0.089409569,0.142750418,0.161530853,0.163838432,0.124253463,0.163175031,0.208252611,0.212375607,0.214807348,0.355318538,0.354179952,0.352958799,0.497981687,0.497981687,0.497981687
600562,CA|Alameda,0.068381386,0.072748112,0.107299439,0.117270308,0.118393904,0.08679725,0.117483098,0.150178747,0.154502087,0.157325456,0.270887697,0.269645926,0.268314105,0.401113308,0.401113308,0.401113308
600884,CA|Alhambra,0.056900311,0.061339414,0.092570989,0.103208756,0.105033451,0.088357392,0.120088223,0.153676322,0.157811151,0.160679118,0.276463275,0.275230127,0.273907554,0.409171324,0.409171324,0.409171324
602000,CA|Anaheim,0.069146791,0.074985176,0.114769663,0.127825399,0.13010555,0.104685596,0.137906839,0.174914012,0.180366279,0.183415182,0.311424227,0.310237345,0.308964394,0.448705397,0.448705397,0.448705397
602252,CA|Antioch,0.075270031,0.082459447,0.128731499,0.144376804,0.147510084,0.112268582,0.145647372,0.18399632,0.188915855,0.191857944,0.321008464,0.319826281,0.31855837,0.458539081,0.458539081,0.458539081
602364,CA|Apple Valley,0.082158676,0.089010334,0.136275144,0.150896491,0.152221037,0.114183904,0.151007718,0.192876608,0.197258766,0.199956144,0.336497423,0.335343642,0.334106192,0.477466485,0.477466485,0.477466485
