StateAbbr,StateDesc,CityName,UniqueID,PopulationCount,GeoLocation,CityFIPS
AL,Alabama,Birmingham,107000,"212,237","(33.5275663773, -86.7988174678)",107000
AL,Alabama,Hoover,135896,"81,619","(33.3767602729, -86.8051937568)",135896
AL,Alabama,Huntsville,137000,"180,105","(34.6989692671, -86.6387042882)",137000
AL,Alabama,Mobile,150000,"195,111","(30.6776248648, -88.1184482714)",150000
AL,Alabama,Montgomery,151000,"205,764","(32.3472645333, -86.2677059552)",151000
AL,Alabama,Tuscaloosa,177256,"90,468","(33.2336083951, -87.5268004073)",177256
AK,Alaska,Anchorage,203000,"291,826","(61.149868731, -149.111113424)",203000
AZ,Arizona,Avondale,404720,"76,238","(33.3858367405, -112.323626619)",404720
AZ,Arizona,Chandler,412000,"236,123","(33.28318981, -111.852210033)",412000
AZ,Arizona,Gilbert,427400,"208,453","(33.310149392, -111.746237467)",427400
AZ,Arizona,Glendale,427820,"226,721","(33.5796123089, -112.225306421)",427820
AZ,Arizona,Mesa,446000,"439,041","(33.4022837359, -111.718721181)",446000
AZ,Arizona,Peoria,454050,"154,065","(33.7847206422, -112.298680584)",454050
AZ,Arizona,Phoenix,455000,"1,445,632","(33.5724138695, -112.088995222)",455000
AZ,Arizona,Scottsdale,465000,"217,385","(33.6872493651, -111.865085877)",465000
AZ,Arizona,Surprise,471510,"117,517","(33.6803835177, -112.452218439)",471510
AZ,Arizona,Tempe,473000,"161,719","(33.3882640307, -111.931802302)",473000
AZ,Arizona,Tucson,477000,"520,116","(32.1567244483, -110.877085494)",477000
AZ,Arizona,Yuma,485540,"93,064","(32.5986027117, -114.54836837)",485540
AR,Arkansas,Fayetteville,523290,"73,580","(36.0712117312, -94.1659600436)",523290
AR,Arkansas,Fort Smith,524550,"86,209","(35.3491692636, -94.3696317306)",524550
AR,Arkansas,Jonesboro,535710,"67,263","(35.8208121538, -90.6794991686)",535710
AR,Arkansas,Little Rock,541000,"193,524","(34.7253957894, -92.3583751863)",541000
AR,Arkansas,Springdale,566080,"69,797","(36.1869932598, -94.1536274531)",566080
CA,California,Alameda,600562,"73,812","(37.7650849031, -122.266489842)",600562
CA,California,Alhambra,600884,"83,089","(34.0839734383, -118.135514119)",600884
CA,California,Anaheim,602000,"336,265","(33.8389076996, -117.857613481)",602000
CA,California,Antioch,602252,"102,372","(37.9777042922, -121.796606971)",602252
CA,California,Apple Valley,602364,"69,135","(34.5315984948, -117.211012664)",602364
